movie title,link,year,certificate,runtime,genre
The Shawshank Redemption,https://www.imdb.com/title/tt0111161/?ref_=adv_li_tt,1994,R,142 min,Drama
The Dark Knight,https://www.imdb.com/title/tt0468569/?ref_=adv_li_tt,2008,PG-13,152 min,"Action,Crime,Drama"
Inception,https://www.imdb.com/title/tt1375666/?ref_=adv_li_tt,2010,PG-13,148 min,"Action,Adventure,Sci-Fi"
Fight Club,https://www.imdb.com/title/tt0137523/?ref_=adv_li_tt,1999,R,139 min,Drama
Forrest Gump,https://www.imdb.com/title/tt0109830/?ref_=adv_li_tt,1994,PG-13,142 min,"Drama,Romance"
Pulp Fiction,https://www.imdb.com/title/tt0110912/?ref_=adv_li_tt,1994,R,154 min,"Crime,Drama"
The Matrix,https://www.imdb.com/title/tt0133093/?ref_=adv_li_tt,1999,R,136 min,"Action,Sci-Fi"
Interstellar,https://www.imdb.com/title/tt0816692/?ref_=adv_li_tt,2014,PG-13,169 min,"Adventure,Drama,Sci-Fi"
The Godfather,https://www.imdb.com/title/tt0068646/?ref_=adv_li_tt,1972,R,175 min,"Crime,Drama"
The Lord of the Rings: The Fellowship of the Ring,https://www.imdb.com/title/tt0120737/?ref_=adv_li_tt,2001,PG-13,178 min,"Action,Adventure,Drama"
The Lord of the Rings: The Return of the King,https://www.imdb.com/title/tt0167260/?ref_=adv_li_tt,2003,PG-13,201 min,"Action,Adventure,Drama"
The Dark Knight Rises,https://www.imdb.com/title/tt1345836/?ref_=adv_li_tt,2012,PG-13,164 min,"Action,Drama,Thriller"
Se7en,https://www.imdb.com/title/tt0114369/?ref_=adv_li_tt,1995,R,127 min,"Crime,Drama,Mystery"
The Lord of the Rings: The Two Towers,https://www.imdb.com/title/tt0167261/?ref_=adv_li_tt,2002,PG-13,179 min,"Action,Adventure,Drama"
Django Unchained,https://www.imdb.com/title/tt1853728/?ref_=adv_li_tt,2012,R,165 min,"Drama,Western"
Gladiator,https://www.imdb.com/title/tt0172495/?ref_=adv_li_tt,2000,R,155 min,"Action,Adventure,Drama"
Batman Begins,https://www.imdb.com/title/tt0372784/?ref_=adv_li_tt,2005,PG-13,140 min,"Action,Crime,Drama"
Inglourious Basterds,https://www.imdb.com/title/tt0361748/?ref_=adv_li_tt,2009,R,153 min,"Adventure,Drama,War"
The Wolf of Wall Street,https://www.imdb.com/title/tt0993846/?ref_=adv_li_tt,2013,R,180 min,"Biography,Comedy,Crime"
The Silence of the Lambs,https://www.imdb.com/title/tt0102926/?ref_=adv_li_tt,1991,R,118 min,"Crime,Drama,Thriller"
Saving Private Ryan,https://www.imdb.com/title/tt0120815/?ref_=adv_li_tt,1998,R,169 min,"Drama,War"
The Avengers,https://www.imdb.com/title/tt0848228/?ref_=adv_li_tt,2012,PG-13,143 min,"Action,Sci-Fi"
Star Wars: Episode IV - A New Hope,https://www.imdb.com/title/tt0076759/?ref_=adv_li_tt,1977,PG,121 min,"Action,Adventure,Fantasy"
Schindler's List,https://www.imdb.com/title/tt0108052/?ref_=adv_li_tt,1993,R,195 min,"Biography,Drama,History"
Joker,https://www.imdb.com/title/tt7286456/?ref_=adv_li_tt,I 2019,R,122 min,"Crime,Drama,Thriller"
The Prestige,https://www.imdb.com/title/tt0482571/?ref_=adv_li_tt,2006,PG-13,130 min,"Drama,Mystery,Sci-Fi"
Shutter Island,https://www.imdb.com/title/tt1130884/?ref_=adv_li_tt,2010,R,138 min,"Mystery,Thriller"
The Departed,https://www.imdb.com/title/tt0407887/?ref_=adv_li_tt,2006,R,151 min,"Crime,Drama,Thriller"
Avatar,https://www.imdb.com/title/tt0499549/?ref_=adv_li_tt,2009,PG-13,162 min,"Action,Adventure,Fantasy"
The Green Mile,https://www.imdb.com/title/tt0120689/?ref_=adv_li_tt,1999,R,189 min,"Crime,Drama,Fantasy"
Star Wars: Episode V - The Empire Strikes Back,https://www.imdb.com/title/tt0080684/?ref_=adv_li_tt,1980,PG,124 min,"Action,Adventure,Fantasy"
The Godfather Part II,https://www.imdb.com/title/tt0071562/?ref_=adv_li_tt,1974,R,202 min,"Crime,Drama"
Memento,https://www.imdb.com/title/tt0209144/?ref_=adv_li_tt,2000,R,113 min,"Mystery,Thriller"
Back to the Future,https://www.imdb.com/title/tt0088763/?ref_=adv_li_tt,1985,PG,116 min,"Adventure,Comedy,Sci-Fi"
Titanic,https://www.imdb.com/title/tt0120338/?ref_=adv_li_tt,1997,PG-13,194 min,"Drama,Romance"
Guardians of the Galaxy,https://www.imdb.com/title/tt2015381/?ref_=adv_li_tt,2014,PG-13,121 min,"Action,Adventure,Comedy"
Goodfellas,https://www.imdb.com/title/tt0099685/?ref_=adv_li_tt,1990,R,145 min,"Biography,Crime,Drama"
Avengers: Endgame,https://www.imdb.com/title/tt4154796/?ref_=adv_li_tt,2019,PG-13,181 min,"Action,Adventure,Drama"
Léon: The Professional,https://www.imdb.com/title/tt0110413/?ref_=adv_li_tt,1994,R,110 min,"Action,Crime,Drama"
American Beauty,https://www.imdb.com/title/tt0169547/?ref_=adv_li_tt,1999,R,122 min,Drama
Pirates of the Caribbean: The Curse of the Black Pearl,https://www.imdb.com/title/tt0325980/?ref_=adv_li_tt,2003,PG-13,143 min,"Action,Adventure,Fantasy"
WALL·E,https://www.imdb.com/title/tt0910970/?ref_=adv_li_tt,2008,G,98 min,"Animation,Adventure,Family"
Kill Bill: Vol. 1,https://www.imdb.com/title/tt0266697/?ref_=adv_li_tt,2003,R,111 min,"Action,Crime,Thriller"
American History X,https://www.imdb.com/title/tt0120586/?ref_=adv_li_tt,1998,R,119 min,"Crime,Drama"
Avengers: Infinity War,https://www.imdb.com/title/tt4154756/?ref_=adv_li_tt,2018,PG-13,149 min,"Action,Adventure,Sci-Fi"
V for Vendetta,https://www.imdb.com/title/tt0434409/?ref_=adv_li_tt,2005,R,132 min,"Action,Drama,Sci-Fi"
The Truman Show,https://www.imdb.com/title/tt0120382/?ref_=adv_li_tt,1998,PG,103 min,"Comedy,Drama"
Terminator 2: Judgment Day,https://www.imdb.com/title/tt0103064/?ref_=adv_li_tt,1991,R,137 min,"Action,Sci-Fi"
The Usual Suspects,https://www.imdb.com/title/tt0114814/?ref_=adv_li_tt,1995,R,106 min,"Crime,Drama,Mystery"
The Lion King,https://www.imdb.com/title/tt0110357/?ref_=adv_li_tt,1994,G,88 min,"Animation,Adventure,Drama"
